Student{name='Иля', secondName='Второй', midleName='Герасимович', FIO='Иля Второй Герасимович', assessment=9.999121669888897}
Student{name='Аркадий', secondName='Третий', midleName='Герасимович', FIO='Аркадий Третий Герасимович', assessment=9.784395957745733}
Student{name='Алина', secondName='Девятый', midleName='Абрамович', FIO='Алина Девятый Абрамович', assessment=9.782458678161724}
Student{name='Буся', secondName='Третий', midleName='Ильич', FIO='Буся Третий Ильич', assessment=9.7822435363235}
Student{name='Болт', secondName='Шестой', midleName='Никитич', FIO='Болт Шестой Никитич', assessment=9.78215644004899}
Student{name='Буся', secondName='Третий', midleName='Cергеевич', FIO='Буся Третий Cергеевич', assessment=9.781620726516978}
Student{name='Иля', secondName='Пятый', midleName='Инокентьевич', FIO='Иля Пятый Инокентьевич', assessment=9.78014080076646}
Student{name='Вика', secondName='Третий', midleName='Абрамович', FIO='Вика Третий Абрамович', assessment=9.77960980702491}
Student{name='Вика', secondName='Пятый', midleName='Абрамович', FIO='Вика Пятый Абрамович', assessment=9.77883831379841}
Student{name='Болт', secondName='Второй', midleName='Cергеевич', FIO='Болт Второй Cергеевич', assessment=9.778838040500158}
Student{name='Кирилл', secondName='Седьмой', midleName='Абрамович', FIO='Кирилл Седьмой Абрамович', assessment=9.77845914499543}
Student{name='Болт', secondName='Четвертый', midleName='Викторович', FIO='Болт Четвертый Викторович', assessment=9.777482099095684}
Student{name='Вика', secondName='Четвертый', midleName='Никитич', FIO='Вика Четвертый Никитич', assessment=9.776900448683547}
Student{name='Буся', secondName='Восьмой', midleName='Никитич', FIO='Буся Восьмой Никитич', assessment=9.77519379436837}
Student{name='Алина', secondName='Пятый', midleName='Викторович', FIO='Алина Пятый Викторович', assessment=9.774795411088622}
Student{name='Смоук', secondName='Третий', midleName='Абрамович', FIO='Смоук Третий Абрамович', assessment=9.774358884904506}
Student{name='Ваня', secondName='Шестой', midleName='Инокентьевич', FIO='Ваня Шестой Инокентьевич', assessment=9.773933089260442}
Student{name='Алина', secondName='Первый', midleName='Ильич', FIO='Алина Первый Ильич', assessment=9.773590269088588}
Student{name='Аркадий', secondName='Девятый', midleName='Викторович', FIO='Аркадий Девятый Викторович', assessment=9.773093181424567}
Student{name='Буся', secondName='Седьмой', midleName='Александрович', FIO='Буся Седьмой Александрович', assessment=9.77265184064552}
Student{name='Ваня', secondName='Седьмой', midleName='Герасимович', FIO='Ваня Седьмой Герасимович', assessment=9.772227264652223}
Student{name='Иля', secondName='Шестой', midleName='Викторович', FIO='Иля Шестой Викторович', assessment=9.77219220423015}
Student{name='Иля', secondName='Восьмой', midleName='Викторович', FIO='Иля Восьмой Викторович', assessment=9.771738166442175}
Student{name='Иля', secondName='Пятый', midleName='Ильич', FIO='Иля Пятый Ильич', assessment=9.771408627337475}
Student{name='Аркадий', secondName='Третий', midleName='Абрамович', FIO='Аркадий Третий Абрамович', assessment=9.771345519361937}
Student{name='Болт', secondName='Пятый', midleName='Абрамович', FIO='Болт Пятый Абрамович', assessment=9.770691135305604}
Student{name='Смоук', secondName='Девятый', midleName='Александрович', FIO='Смоук Девятый Александрович', assessment=9.769712786087574}
Student{name='Кирилл', secondName='Третий', midleName='Александрович', FIO='Кирилл Третий Александрович', assessment=9.767244303889559}
Student{name='Кирилл', secondName='Восьмой', midleName='Cергеевич', FIO='Кирилл Восьмой Cергеевич', assessment=9.765791493493591}
Student{name='Болт', secondName='Третий', midleName='Александрович', FIO='Болт Третий Александрович', assessment=9.765765859812545}
Student{name='Буся', secondName='Четвертый', midleName='Александрович', FIO='Буся Четвертый Александрович', assessment=9.765517269857646}
Student{name='Аркадий', secondName='Девятый', midleName='Викторович', FIO='Аркадий Девятый Викторович', assessment=9.765231755549872}
Student{name='Аркадий', secondName='Второй', midleName='Инокентьевич', FIO='Аркадий Второй Инокентьевич', assessment=9.763305785869026}
Student{name='Полина', secondName='Восьмой', midleName='Александрович', FIO='Полина Восьмой Александрович', assessment=9.762999919355728}
Student{name='Болт', secondName='Шестой', midleName='Ильич', FIO='Болт Шестой Ильич', assessment=9.76152411680258}
Student{name='Вика', secondName='Второй', midleName='Никитич', FIO='Вика Второй Никитич', assessment=9.760133757301105}
Student{name='Кирилл', secondName='Девятый', midleName='Ильич', FIO='Кирилл Девятый Ильич', assessment=9.759839130826958}
Student{name='Ваня', secondName='Третий', midleName='Герасимович', FIO='Ваня Третий Герасимович', assessment=9.759832096694412}
Student{name='Болт', secondName='Восьмой', midleName='Ильич', FIO='Болт Восьмой Ильич', assessment=9.756543070605657}
Student{name='Смоук', secondName='Пятый', midleName='Инокентьевич', FIO='Смоук Пятый Инокентьевич', assessment=9.752721688824042}
Student{name='Полина', secondName='Седьмой', midleName='Инокентьевич', FIO='Полина Седьмой Инокентьевич', assessment=9.751272298023798}
Student{name='Смоук', secondName='Четвертый', midleName='Герасимович', FIO='Смоук Четвертый Герасимович', assessment=9.75099304670305}
Student{name='Вика', secondName='Первый', midleName='Герасимович', FIO='Вика Первый Герасимович', assessment=9.750781010957244}
Student{name='Болт', secondName='Пятый', midleName='Викторович', FIO='Болт Пятый Викторович', assessment=9.750293402306754}
Student{name='Вика', secondName='Четвертый', midleName='Инокентьевич', FIO='Вика Четвертый Инокентьевич', assessment=9.74860942254454}
Student{name='Кирилл', secondName='Восьмой', midleName='Ильич', FIO='Кирилл Восьмой Ильич', assessment=9.747764099823765}
Student{name='Буся', secondName='Второй', midleName='Герасимович', FIO='Буся Второй Герасимович', assessment=9.745878382300921}
Student{name='Алина', secondName='Шестой', midleName='Никитич', FIO='Алина Шестой Никитич', assessment=9.744457588883801}
Student{name='Кирилл', secondName='Девятый', midleName='Герасимович', FIO='Кирилл Девятый Герасимович', assessment=9.742941241223036}
Student{name='Полина', secondName='Второй', midleName='Инокентьевич', FIO='Полина Второй Инокентьевич', assessment=9.742641311169516}
Student{name='Иля', secondName='Второй', midleName='Викторович', FIO='Иля Второй Викторович', assessment=9.741747300794165}
Student{name='Буся', secondName='Третий', midleName='Никитич', FIO='Буся Третий Никитич', assessment=9.741369884302603}
Student{name='Буся', secondName='Седьмой', midleName='Викторович', FIO='Буся Седьмой Викторович', assessment=9.741089642031756}
Student{name='Кирилл', secondName='Пятый', midleName='Cергеевич', FIO='Кирилл Пятый Cергеевич', assessment=9.740860775746427}
Student{name='Вика', secondName='Первый', midleName='Cергеевич', FIO='Вика Первый Cергеевич', assessment=9.74081835994152}
Student{name='Аркадий', secondName='Второй', midleName='Ильич', FIO='Аркадий Второй Ильич', assessment=9.740066834000437}
Student{name='Полина', secondName='Пятый', midleName='Герасимович', FIO='Полина Пятый Герасимович', assessment=9.739793473730673}
Student{name='Кирилл', secondName='Седьмой', midleName='Никитич', FIO='Кирилл Седьмой Никитич', assessment=9.739779244700703}
Student{name='Алина', secondName='Второй', midleName='Cергеевич', FIO='Алина Второй Cергеевич', assessment=9.739439710033707}
Student{name='Вика', secondName='Седьмой', midleName='Викторович', FIO='Вика Седьмой Викторович', assessment=9.738873514604906}
Student{name='Буся', secondName='Девятый', midleName='Cергеевич', FIO='Буся Девятый Cергеевич', assessment=9.738357395319738}
Student{name='Буся', secondName='Девятый', midleName='Александрович', FIO='Буся Девятый Александрович', assessment=9.736730271699166}
Student{name='Вика', secondName='Второй', midleName='Инокентьевич', FIO='Вика Второй Инокентьевич', assessment=9.736589765493584}
Student{name='Кирилл', secondName='Пятый', midleName='Никитич', FIO='Кирилл Пятый Никитич', assessment=9.735939592611851}
Student{name='Ваня', secondName='Четвертый', midleName='Инокентьевич', FIO='Ваня Четвертый Инокентьевич', assessment=9.735433135260356}
Student{name='Болт', secondName='Девятый', midleName='Герасимович', FIO='Болт Девятый Герасимович', assessment=9.73523256897077}
Student{name='Кирилл', secondName='Шестой', midleName='Ильич', FIO='Кирилл Шестой Ильич', assessment=9.734358982964922}
Student{name='Кирилл', secondName='Пятый', midleName='Ильич', FIO='Кирилл Пятый Ильич', assessment=9.733443287072944}
Student{name='Болт', secondName='Шестой', midleName='Инокентьевич', FIO='Болт Шестой Инокентьевич', assessment=9.732477470777667}
Student{name='Ваня', secondName='Второй', midleName='Герасимович', FIO='Ваня Второй Герасимович', assessment=9.731081723916125}
Student{name='Полина', secondName='Третий', midleName='Викторович', FIO='Полина Третий Викторович', assessment=9.729813485029966}
Student{name='Буся', secondName='Девятый', midleName='Викторович', FIO='Буся Девятый Викторович', assessment=9.727645778266558}
Student{name='Буся', secondName='Третий', midleName='Абрамович', FIO='Буся Третий Абрамович', assessment=9.727462030857486}
Student{name='Болт', secondName='Шестой', midleName='Инокентьевич', FIO='Болт Шестой Инокентьевич', assessment=9.725723954596504}
Student{name='Смоук', secondName='Шестой', midleName='Cергеевич', FIO='Смоук Шестой Cергеевич', assessment=9.725587418748944}
Student{name='Буся', secondName='Восьмой', midleName='Ильич', FIO='Буся Восьмой Ильич', assessment=9.724093263589962}
Student{name='Ваня', secondName='Шестой', midleName='Герасимович', FIO='Ваня Шестой Герасимович', assessment=9.723054317851293}
Student{name='Буся', secondName='Второй', midleName='Герасимович', FIO='Буся Второй Герасимович', assessment=9.722863962492335}
Student{name='Иля', secondName='Восьмой', midleName='Викторович', FIO='Иля Восьмой Викторович', assessment=9.721780795449138}
Student{name='Полина', secondName='Девятый', midleName='Cергеевич', FIO='Полина Девятый Cергеевич', assessment=9.7215709409528}
Student{name='Алина', secondName='Первый', midleName='Викторович', FIO='Алина Первый Викторович', assessment=9.7198613637362}
Student{name='Аркадий', secondName='Восьмой', midleName='Ильич', FIO='Аркадий Восьмой Ильич', assessment=9.719434086565057}
Student{name='Алина', secondName='Второй', midleName='Cергеевич', FIO='Алина Второй Cергеевич', assessment=9.719414866239184}
Student{name='Кирилл', secondName='Шестой', midleName='Александрович', FIO='Кирилл Шестой Александрович', assessment=9.717346737166798}
Student{name='Аркадий', secondName='Третий', midleName='Александрович', FIO='Аркадий Третий Александрович', assessment=9.717324947651658}
Student{name='Буся', secondName='Третий', midleName='Ильич', FIO='Буся Третий Ильич', assessment=9.71709044908913}
Student{name='Кирилл', secondName='Седьмой', midleName='Викторович', FIO='Кирилл Седьмой Викторович', assessment=9.716269176384007}
Student{name='Буся', secondName='Восьмой', midleName='Никитич', FIO='Буся Восьмой Никитич', assessment=9.715644871824656}
Student{name='Вика', secondName='Второй', midleName='Никитич', FIO='Вика Второй Никитич', assessment=9.715629426698486}
Student{name='Смоук', secondName='Пятый', midleName='Инокентьевич', FIO='Смоук Пятый Инокентьевич', assessment=9.715403309018601}
Student{name='Алина', secondName='Четвертый', midleName='Никитич', FIO='Алина Четвертый Никитич', assessment=9.71385338993311}
Student{name='Аркадий', secondName='Восьмой', midleName='Герасимович', FIO='Аркадий Восьмой Герасимович', assessment=9.713805408336075}
Student{name='Кирилл', secondName='Второй', midleName='Абрамович', FIO='Кирилл Второй Абрамович', assessment=9.710482100308482}
Student{name='Буся', secondName='Седьмой', midleName='Никитич', FIO='Буся Седьмой Никитич', assessment=9.71026295003342}
Student{name='Кирилл', secondName='Первый', midleName='Никитич', FIO='Кирилл Первый Никитич', assessment=9.709668701098959}
Student{name='Алина', secondName='Седьмой', midleName='Ильич', FIO='Алина Седьмой Ильич', assessment=9.708669366657798}
Student{name='Ваня', secondName='Седьмой', midleName='Ильич', FIO='Ваня Седьмой Ильич', assessment=9.70714167732184}
Student{name='Вика', secondName='Восьмой', midleName='Викторович', FIO='Вика Восьмой Викторович', assessment=9.706462447453747}
Student{name='Ваня', secondName='Седьмой', midleName='Ильич', FIO='Ваня Седьмой Ильич', assessment=9.704616582841144}
Student{name='Ваня', secondName='Пятый', midleName='Александрович', FIO='Ваня Пятый Александрович', assessment=9.704363256810577}
Student{name='Болт', secondName='Третий', midleName='Герасимович', FIO='Болт Третий Герасимович', assessment=9.702834961961651}
Student{name='Алина', secondName='Второй', midleName='Инокентьевич', FIO='Алина Второй Инокентьевич', assessment=9.701887663877539}
Student{name='Иля', secondName='Девятый', midleName='Инокентьевич', FIO='Иля Девятый Инокентьевич', assessment=9.700980661821674}
Student{name='Буся', secondName='Восьмой', midleName='Александрович', FIO='Буся Восьмой Александрович', assessment=9.69892062737188}
Student{name='Кирилл', secondName='Пятый', midleName='Никитич', FIO='Кирилл Пятый Никитич', assessment=9.696714341103029}
Student{name='Полина', secondName='Третий', midleName='Никитич', FIO='Полина Третий Никитич', assessment=9.69563771942733}
Student{name='Смоук', secondName='Второй', midleName='Викторович', FIO='Смоук Второй Викторович', assessment=9.694855421849045}
Student{name='Буся', secondName='Третий', midleName='Герасимович', FIO='Буся Третий Герасимович', assessment=9.694512956009017}
Student{name='Алина', secondName='Седьмой', midleName='Инокентьевич', FIO='Алина Седьмой Инокентьевич', assessment=9.694262043545905}
Student{name='Вика', secondName='Первый', midleName='Ильич', FIO='Вика Первый Ильич', assessment=9.693982435069675}
Student{name='Ваня', secondName='Третий', midleName='Герасимович', FIO='Ваня Третий Герасимович', assessment=9.693292843547713}
Student{name='Алина', secondName='Первый', midleName='Никитич', FIO='Алина Первый Никитич', assessment=9.691869351598154}
Student{name='Иля', secondName='Шестой', midleName='Викторович', FIO='Иля Шестой Викторович', assessment=9.691805742905647}
Student{name='Смоук', secondName='Первый', midleName='Александрович', FIO='Смоук Первый Александрович', assessment=9.691744875994566}
Student{name='Болт', secondName='Первый', midleName='Инокентьевич', FIO='Болт Первый Инокентьевич', assessment=9.69164605799013}
Student{name='Кирилл', secondName='Пятый', midleName='Ильич', FIO='Кирилл Пятый Ильич', assessment=9.69129878147876}
Student{name='Ваня', secondName='Шестой', midleName='Викторович', FIO='Ваня Шестой Викторович', assessment=9.690502551631134}
Student{name='Вика', secondName='Девятый', midleName='Никитич', FIO='Вика Девятый Никитич', assessment=9.690117845237292}
Student{name='Аркадий', secondName='Первый', midleName='Никитич', FIO='Аркадий Первый Никитич', assessment=9.690005963023529}
Student{name='Вика', secondName='Третий', midleName='Викторович', FIO='Вика Третий Викторович', assessment=9.688558567025662}
Student{name='Болт', secondName='Третий', midleName='Александрович', FIO='Болт Третий Александрович', assessment=9.687270061439563}
Student{name='Ваня', secondName='Девятый', midleName='Инокентьевич', FIO='Ваня Девятый Инокентьевич', assessment=9.686046245535586}
Student{name='Ваня', secondName='Четвертый', midleName='Ильич', FIO='Ваня Четвертый Ильич', assessment=9.685121552196474}
Student{name='Иля', secondName='Четвертый', midleName='Ильич', FIO='Иля Четвертый Ильич', assessment=9.684793892925853}
Student{name='Полина', secondName='Седьмой', midleName='Никитич', FIO='Полина Седьмой Никитич', assessment=9.682470759787483}
Student{name='Буся', secondName='Седьмой', midleName='Ильич', FIO='Буся Седьмой Ильич', assessment=9.679573623607524}
Student{name='Ваня', secondName='Седьмой', midleName='Викторович', FIO='Ваня Седьмой Викторович', assessment=9.678673718469957}
Student{name='Вика', secondName='Седьмой', midleName='Никитич', FIO='Вика Седьмой Никитич', assessment=9.678295121779618}
Student{name='Полина', secondName='Девятый', midleName='Викторович', FIO='Полина Девятый Викторович', assessment=9.676398841729565}
Student{name='Вика', secondName='Шестой', midleName='Никитич', FIO='Вика Шестой Никитич', assessment=9.67541695390304}
Student{name='Полина', secondName='Шестой', midleName='Никитич', FIO='Полина Шестой Никитич', assessment=9.675004587239146}
Student{name='Буся', secondName='Шестой', midleName='Александрович', FIO='Буся Шестой Александрович', assessment=9.675002412663927}
Student{name='Алина', secondName='Четвертый', midleName='Викторович', FIO='Алина Четвертый Викторович', assessment=9.67231087546596}
Student{name='Аркадий', secondName='Девятый', midleName='Викторович', FIO='Аркадий Девятый Викторович', assessment=9.671720606466353}
Student{name='Полина', secondName='Первый', midleName='Никитич', FIO='Полина Первый Никитич', assessment=9.670159703292015}
Student{name='Буся', secondName='Седьмой', midleName='Инокентьевич', FIO='Буся Седьмой Инокентьевич', assessment=9.669526319582555}
Student{name='Кирилл', secondName='Девятый', midleName='Cергеевич', FIO='Кирилл Девятый Cергеевич', assessment=9.669512142202096}
Student{name='Иля', secondName='Седьмой', midleName='Cергеевич', FIO='Иля Седьмой Cергеевич', assessment=9.66807888157594}
Student{name='Буся', secondName='Второй', midleName='Ильич', FIO='Буся Второй Ильич', assessment=9.66637400306295}
Student{name='Полина', secondName='Девятый', midleName='Инокентьевич', FIO='Полина Девятый Инокентьевич', assessment=9.661867278081074}
Student{name='Аркадий', secondName='Четвертый', midleName='Инокентьевич', FIO='Аркадий Четвертый Инокентьевич', assessment=9.661150431405586}
Student{name='Вика', secondName='Второй', midleName='Никитич', FIO='Вика Второй Никитич', assessment=9.659909655579893}
Student{name='Иля', secondName='Седьмой', midleName='Никитич', FIO='Иля Седьмой Никитич', assessment=9.659562383800557}
Student{name='Смоук', secondName='Пятый', midleName='Ильич', FIO='Смоук Пятый Ильич', assessment=9.656747137670619}
Student{name='Полина', secondName='Первый', midleName='Викторович', FIO='Полина Первый Викторович', assessment=9.65648578129387}
Student{name='Аркадий', secondName='Восьмой', midleName='Викторович', FIO='Аркадий Восьмой Викторович', assessment=9.656410887809427}
Student{name='Вика', secondName='Второй', midleName='Герасимович', FIO='Вика Второй Герасимович', assessment=9.655397215153332}
Student{name='Ваня', secondName='Шестой', midleName='Александрович', FIO='Ваня Шестой Александрович', assessment=9.65483573001449}
Student{name='Вика', secondName='Восьмой', midleName='Александрович', FIO='Вика Восьмой Александрович', assessment=9.653732674789339}
Student{name='Полина', secondName='Седьмой', midleName='Александрович', FIO='Полина Седьмой Александрович', assessment=9.65176344443131}
Student{name='Кирилл', secondName='Шестой', midleName='Ильич', FIO='Кирилл Шестой Ильич', assessment=9.648927334306137}
Student{name='Иля', secondName='Девятый', midleName='Cергеевич', FIO='Иля Девятый Cергеевич', assessment=9.647022046911635}
Student{name='Вика', secondName='Шестой', midleName='Александрович', FIO='Вика Шестой Александрович', assessment=9.646233402758547}
Student{name='Смоук', secondName='Восьмой', midleName='Cергеевич', FIO='Смоук Восьмой Cергеевич', assessment=9.644818343130959}
Student{name='Болт', secondName='Третий', midleName='Инокентьевич', FIO='Болт Третий Инокентьевич', assessment=9.641799111067836}
Student{name='Ваня', secondName='Пятый', midleName='Абрамович', FIO='Ваня Пятый Абрамович', assessment=9.64172512728445}
Student{name='Смоук', secondName='Второй', midleName='Ильич', FIO='Смоук Второй Ильич', assessment=9.641458649979004}
Student{name='Болт', secondName='Шестой', midleName='Викторович', FIO='Болт Шестой Викторович', assessment=9.640699792148133}
Student{name='Алина', secondName='Девятый', midleName='Герасимович', FIO='Алина Девятый Герасимович', assessment=9.640122529457571}
Student{name='Аркадий', secondName='Первый', midleName='Александрович', FIO='Аркадий Первый Александрович', assessment=9.63983781190986}
Student{name='Ваня', secondName='Второй', midleName='Герасимович', FIO='Ваня Второй Герасимович', assessment=9.638687471445909}
Student{name='Кирилл', secondName='Шестой', midleName='Викторович', FIO='Кирилл Шестой Викторович', assessment=9.637083723141567}
Student{name='Болт', secondName='Второй', midleName='Инокентьевич', FIO='Болт Второй Инокентьевич', assessment=9.636551784672369}
Student{name='Буся', secondName='Второй', midleName='Cергеевич', FIO='Буся Второй Cергеевич', assessment=9.635664031835455}
Student{name='Буся', secondName='Третий', midleName='Александрович', FIO='Буся Третий Александрович', assessment=9.634079684362288}
Student{name='Полина', secondName='Пятый', midleName='Инокентьевич', FIO='Полина Пятый Инокентьевич', assessment=9.633444822747766}
Student{name='Кирилл', secondName='Девятый', midleName='Ильич', FIO='Кирилл Девятый Ильич', assessment=9.629034938629994}
Student{name='Ваня', secondName='Второй', midleName='Ильич', FIO='Ваня Второй Ильич', assessment=9.628215727284642}
Student{name='Ваня', secondName='Восьмой', midleName='Никитич', FIO='Ваня Восьмой Никитич', assessment=9.627697076904548}
Student{name='Кирилл', secondName='Шестой', midleName='Инокентьевич', FIO='Кирилл Шестой Инокентьевич', assessment=9.6270412875757}
Student{name='Иля', secondName='Шестой', midleName='Герасимович', FIO='Иля Шестой Герасимович', assessment=9.625796944273766}
Student{name='Ваня', secondName='Восьмой', midleName='Александрович', FIO='Ваня Восьмой Александрович', assessment=9.62524132651251}
Student{name='Ваня', secondName='Четвертый', midleName='Cергеевич', FIO='Ваня Четвертый Cергеевич', assessment=9.623884013925903}
Student{name='Болт', secondName='Четвертый', midleName='Ильич', FIO='Болт Четвертый Ильич', assessment=9.623830623890445}
Student{name='Полина', secondName='Восьмой', midleName='Александрович', FIO='Полина Восьмой Александрович', assessment=9.622974907843567}
Student{name='Болт', secondName='Первый', midleName='Абрамович', FIO='Болт Первый Абрамович', assessment=9.6224242083958}
Student{name='Аркадий', secondName='Седьмой', midleName='Викторович', FIO='Аркадий Седьмой Викторович', assessment=9.621753083862563}
Student{name='Буся', secondName='Восьмой', midleName='Никитич', FIO='Буся Восьмой Никитич', assessment=9.621466173368002}
Student{name='Аркадий', secondName='Седьмой', midleName='Ильич', FIO='Аркадий Седьмой Ильич', assessment=9.621020379977432}
Student{name='Иля', secondName='Девятый', midleName='Герасимович', FIO='Иля Девятый Герасимович', assessment=9.615652198852287}
Student{name='Вика', secondName='Шестой', midleName='Ильич', FIO='Вика Шестой Ильич', assessment=9.614789835216126}
Student{name='Буся', secondName='Восьмой', midleName='Александрович', FIO='Буся Восьмой Александрович', assessment=9.612498388588005}
Student{name='Вика', secondName='Седьмой', midleName='Викторович', FIO='Вика Седьмой Викторович', assessment=9.608725432121572}
Student{name='Кирилл', secondName='Восьмой', midleName='Никитич', FIO='Кирилл Восьмой Никитич', assessment=9.60865671370936}
Student{name='Полина', secondName='Восьмой', midleName='Александрович', FIO='Полина Восьмой Александрович', assessment=9.607994890434835}
Student{name='Смоук', secondName='Девятый', midleName='Cергеевич', FIO='Смоук Девятый Cергеевич', assessment=9.606778377464433}
Student{name='Вика', secondName='Пятый', midleName='Ильич', FIO='Вика Пятый Ильич', assessment=9.606615967086935}
Student{name='Смоук', secondName='Третий', midleName='Никитич', FIO='Смоук Третий Никитич', assessment=9.606259646510436}
Student{name='Болт', secondName='Шестой', midleName='Cергеевич', FIO='Болт Шестой Cергеевич', assessment=9.604891210321188}
Student{name='Ваня', secondName='Седьмой', midleName='Викторович', FIO='Ваня Седьмой Викторович', assessment=9.604828017209346}
Student{name='Болт', secondName='Седьмой', midleName='Cергеевич', FIO='Болт Седьмой Cергеевич', assessment=9.60438502359306}
Student{name='Иля', secondName='Пятый', midleName='Cергеевич', FIO='Иля Пятый Cергеевич', assessment=9.60353923259339}
Student{name='Кирилл', secondName='Четвертый', midleName='Александрович', FIO='Кирилл Четвертый Александрович', assessment=9.602245921174614}
Student{name='Кирилл', secondName='Девятый', midleName='Абрамович', FIO='Кирилл Девятый Абрамович', assessment=9.601964709259711}
Student{name='Аркадий', secondName='Первый', midleName='Герасимович', FIO='Аркадий Первый Герасимович', assessment=9.6008042961982}
Student{name='Ваня', secondName='Восьмой', midleName='Александрович', FIO='Ваня Восьмой Александрович', assessment=9.598885658610874}
Student{name='Иля', secondName='Второй', midleName='Александрович', FIO='Иля Второй Александрович', assessment=9.59849122812918}
Student{name='Аркадий', secondName='Шестой', midleName='Инокентьевич', FIO='Аркадий Шестой Инокентьевич', assessment=9.594940454214921}
Student{name='Смоук', secondName='Восьмой', midleName='Cергеевич', FIO='Смоук Восьмой Cергеевич', assessment=9.594563646545552}
Student{name='Полина', secondName='Шестой', midleName='Викторович', FIO='Полина Шестой Викторович', assessment=9.594166338058418}
Student{name='Вика', secondName='Шестой', midleName='Ильич', FIO='Вика Шестой Ильич', assessment=9.594113070830549}
Student{name='Болт', secondName='Четвертый', midleName='Cергеевич', FIO='Болт Четвертый Cергеевич', assessment=9.593581765166919}
Student{name='Смоук', secondName='Второй', midleName='Никитич', FIO='Смоук Второй Никитич', assessment=9.591687097822179}
Student{name='Кирилл', secondName='Первый', midleName='Абрамович', FIO='Кирилл Первый Абрамович', assessment=9.59115119510181}
Student{name='Ваня', secondName='Первый', midleName='Cергеевич', FIO='Ваня Первый Cергеевич', assessment=9.590632113603592}
Student{name='Ваня', secondName='Третий', midleName='Абрамович', FIO='Ваня Третий Абрамович', assessment=9.586809441052823}
Student{name='Полина', secondName='Седьмой', midleName='Абрамович', FIO='Полина Седьмой Абрамович', assessment=9.586289110547042}
Student{name='Полина', secondName='Шестой', midleName='Cергеевич', FIO='Полина Шестой Cергеевич', assessment=9.58542431751821}
Student{name='Вика', secondName='Второй', midleName='Cергеевич', FIO='Вика Второй Cергеевич', assessment=9.584873918544886}
Student{name='Болт', secondName='Шестой', midleName='Ильич', FIO='Болт Шестой Ильич', assessment=9.584866382139204}
Student{name='Смоук', secondName='Четвертый', midleName='Александрович', FIO='Смоук Четвертый Александрович', assessment=9.581728090518805}
Student{name='Иля', secondName='Второй', midleName='Герасимович', FIO='Иля Второй Герасимович', assessment=9.581485522220236}
Student{name='Алина', secondName='Шестой', midleName='Cергеевич', FIO='Алина Шестой Cергеевич', assessment=9.581118210988821}
Student{name='Полина', secondName='Четвертый', midleName='Герасимович', FIO='Полина Четвертый Герасимович', assessment=9.578237270294862}
Student{name='Болт', secondName='Четвертый', midleName='Герасимович', FIO='Болт Четвертый Герасимович', assessment=9.57731451431759}
Student{name='Аркадий', secondName='Третий', midleName='Александрович', FIO='Аркадий Третий Александрович', assessment=9.576023539904106}
Student{name='Ваня', secondName='Седьмой', midleName='Александрович', FIO='Ваня Седьмой Александрович', assessment=9.574686500092467}
Student{name='Полина', secondName='Шестой', midleName='Викторович', FIO='Полина Шестой Викторович', assessment=9.573678648794472}
Student{name='Смоук', secondName='Пятый', midleName='Абрамович', FIO='Смоук Пятый Абрамович', assessment=9.57274239931404}
Student{name='Полина', secondName='Девятый', midleName='Абрамович', FIO='Полина Девятый Абрамович', assessment=9.571539306103832}
Student{name='Кирилл', secondName='Восьмой', midleName='Ильич', FIO='Кирилл Восьмой Ильич', assessment=9.571508351628484}
Student{name='Кирилл', secondName='Четвертый', midleName='Герасимович', FIO='Кирилл Четвертый Герасимович', assessment=9.56807172658158}
Student{name='Буся', secondName='Четвертый', midleName='Ильич', FIO='Буся Четвертый Ильич', assessment=9.566447637262726}
Student{name='Болт', secondName='Четвертый', midleName='Абрамович', FIO='Болт Четвертый Абрамович', assessment=9.564504288754275}
Student{name='Полина', secondName='Четвертый', midleName='Герасимович', FIO='Полина Четвертый Герасимович', assessment=9.56251934064371}
Student{name='Аркадий', secondName='Второй', midleName='Александрович', FIO='Аркадий Второй Александрович', assessment=9.56118670845261}
Student{name='Ваня', secondName='Восьмой', midleName='Абрамович', FIO='Ваня Восьмой Абрамович', assessment=9.56011601268274}
Student{name='Алина', secondName='Первый', midleName='Абрамович', FIO='Алина Первый Абрамович', assessment=9.559645163633766}
Student{name='Полина', secondName='Четвертый', midleName='Cергеевич', FIO='Полина Четвертый Cергеевич', assessment=9.556030836359477}
Student{name='Алина', secondName='Шестой', midleName='Викторович', FIO='Алина Шестой Викторович', assessment=9.55372497646746}
Student{name='Смоук', secondName='Пятый', midleName='Александрович', FIO='Смоук Пятый Александрович', assessment=9.55345168547269}
Student{name='Иля', secondName='Третий', midleName='Герасимович', FIO='Иля Третий Герасимович', assessment=9.553075036458138}
Student{name='Полина', secondName='Девятый', midleName='Инокентьевич', FIO='Полина Девятый Инокентьевич', assessment=9.552418383618074}
Student{name='Болт', secondName='Седьмой', midleName='Александрович', FIO='Болт Седьмой Александрович', assessment=9.551870710451523}
Student{name='Болт', secondName='Первый', midleName='Викторович', FIO='Болт Первый Викторович', assessment=9.549792809135573}
Student{name='Смоук', secondName='Третий', midleName='Герасимович', FIO='Смоук Третий Герасимович', assessment=9.547762943514932}
Student{name='Буся', secondName='Пятый', midleName='Герасимович', FIO='Буся Пятый Герасимович', assessment=9.547585690649372}
Student{name='Вика', secondName='Пятый', midleName='Герасимович', FIO='Вика Пятый Герасимович', assessment=9.545493089625253}
